Nd	CaSc2O4	1.072	-0- 	4F3/2	4I11/2	2100	1	0.105	22	p	300	5x25	Xe	2.3	4/27/1988	7000
Nd	CaSc2O4	1.0755	-0- 	4F3/2	4I11/2	2100	1	0.105	22	p	300	5x25	Xe	2.7	4/27/1988	7000
Nd	CaSc2O4	1.0868	-0- 	4F3/2	4I11/2	2250	1	0.105	25	p	300	5x25	Xe	1	4/27/1988	7000
Nd	CaSc2O4	1.073	-0- 	4F3/2	4I11/2	2100	1	0.105	3.5	p	77	5x25	Xe	0.7	4/27/1988	7000
Nd	CaSc2O4	1.0867	-0- 	4F3/2	4I11/2	2250	1	0.105	4.5	p	77	5x25	Xe	0.4	4/27/1988	7000
Nd	CaSc2O4	1.3565	-0- 	4F3/2	4I13/2	4050	1	0.105	30	p	300	5x25	Xe	1.5	4/27/1988	7000
Nd	CaSc2O4	1.387	-0- 	4F3/2	4I13/2	4200	1	0.105	12	p	77	5x25	Xe	6	4/27/1988	7000
Nd	Ca(VO4)2	1.067	-0- 	4F3/2	4I11/2	2000	2	0.15	160	p	300	3-6.3x52	Xe	3000	4/27/1988	7029
Nd	CaWO4	0.9145	-0- 	4F3/2	4I9/2	471	1.57	0.18	15	p	77	3x50	Xe	4.6	4/27/1988	7030
Nd	CaWO4	1.0582	-0- 	4F3/2	4I11/2	2016	1.57	0.18	20	p	300	5x30	Xe	0.5	4/27/1988	7030
Nd	CaWO4	1.0582	-0- 	4F3/2	4I11/2	2016	1.57	0.18	20	cw	300	2x50	Hg	1200	4/27/1988	7030
Nd	CaWO4	1.0652	-0- 	4F3/2	4I11/2	2016	1.57	0.18	20	p	300	5x30	Xe	1.3	4/27/1988	7030
Nd	CaWO4	1.0582	1.0597	4F3/2	4I11/2	2016	1.57	0.18	20	p	700	4.5x45	Xe	1.3	4/27/1988	7030
Nd	CaWO4	1.0587	-0- 	4F3/2	4I11/2	-0- 	1.57	0.18	7	p	77	5x30	Xe	1	4/27/1988	7030
Nd	CaWO4	1.0601	-0- 	4F3/2	4I11/2	-0- 	1.57	0.18	-0- 	p	77	5x30	Xe	1	4/27/1988	7030
Nd	CaWO4	1.0634	-0- 	4F3/2	4I11/2	-0- 	1.57	0.18	-0- 	p	77	5x30	Xe	80	4/27/1988	7030
